time,open,high,low,close,SH Ext,SH,SL Ext,SL,VWAP MIDDLE,BB Red Line,BB Top,BB Bottom,Long Plot,Short Plot,Shapes,Shapes,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1614297600,47063.9,48464.64,44150,46326.2,58367,58367,28732,28732,46313.613333333335,49221.56599999999,57741.442125835456,40701.68987416453,52617.42786703735,50149.03344678516,NaN,NaN,49.77809804970678,68.3338580432406,NaN,NaN
1614384000,46319.79,48356.86,45055,46180.75,58367,58367,28732,28732,46530.869999999995,49587.03249999999,56831.21872717566,42342.84627282431,51531.13365574707,48558.92714682881,NaN,NaN,49.47598846026223,66.79256978203298,NaN,NaN
1614470400,46169.92,46656,43016,45231.75,58367,58367,28732,43016,44967.916666666664,49526.21499999999,56894.156144161425,42158.27385583855,49690.12928322601,47010.78562438508,NaN,NaN,47.45240281274146,64.96239641571638,NaN,NaN
1614556800,45231.74,49829,45042.13,49639.4,58367,58367,28732,43016,48170.17666666667,49682.448499999984,56919.69071409919,42445.20628590078,48854.44989521505,47065.243998761965,NaN,NaN,56.37665179911582,63.96385403056029,NaN,NaN
1614643200,49635.3,50250,47075.11,48511.6,58367,58367,28732,43016,48612.236666666664,49865.528499999986,56782.70041205311,42948.35658794686,47716.42655021622,46496.41828509139,NaN,NaN,53.85627872636488,62.65457053833733,NaN,NaN
1614729600,48502.18,52666,48161.75,50360,58367,52666,28732,43016,50395.916666666664,49983.63299999999,56849.692511085676,43117.5734889143,47719.95871701476,47457.132961284166,NaN,NaN,57.231038108325855,61.306748995469604,NaN,NaN
1614816000,50370.33,51798.33,47502,48368.52,58367,52666,28732,43016,49222.95,50031.641999999985,56838.17158172008,43225.11241827989,47232.64785546556,47048.313621178495,NaN,47312.19999037846,52.754385070224714,59.790313435307496,NaN,NaN
1614902400,48370.97,49473.99,46219.32,48769.47,58367,52666,43016,43016,48154.26,50108.49299999998,56820.924832277604,43396.06116772236,47312.19999037846,47750.59173087332,NaN,NaN,53.54229846500985,57.981579144504096,NaN,NaN
1614988800,48766.01,49210,47077,48909.84,58367,52666,43016,43016,48398.94666666666,50119.950499999984,56823.37093491733,43416.53006508264,47094.909708866835,47647.78297675555,NaN,NaN,53.832581286976286,56.209128940126,NaN,NaN
1615075200,48909.84,51459,48909.83,50978.61,58367,52666,43016,43016,50449.14666666667,50272.062499999985,56908.111607148254,43636.01339285172,47672.59315982005,48965.43017926319,NaN,NaN,57.99797833249514,54.62448099628541,NaN,NaN
1615161600,50976.22,52425,49328.62,52415.23,52666,52666,43016,43016,51389.61666666667,50434.88849999999,57113.347989743066,43756.42901025691,47998.105260098106,49812.22791771723,NaN,NaN,60.652878298256624,54.04328120783685,NaN,NaN
1615248000,52413.17,54936,51845.01,54916.38,52666,52666,43016,43016,53899.130000000005,50572.20699999999,57496.15237553059,43648.261624469385,49302.97112493316,51965.50540124166,NaN,NaN,64.82188887658333,54.709804418843014,NaN,NaN
1615334400,54921.61,57402.14,53025,55890.69,52666,52666,43016,43016,55439.27666666667,50786.65499999999,58080.64818256234,43492.66181743764,50511.078590134086,53303.143572590925,NaN,NaN,66.31897714050979,55.3808768664938,NaN,NaN
1615420800,55888.7,58113,54283,57815.47,52666,52666,43016,43016,56737.15666666667,50878.25049999999,58470.88254362141,43285.618456378565,52255.79167907488,55553.95630021873,NaN,NaN,69.11529754516873,56.65762449798153,NaN,NaN
1615507200,57820.15,58065.92,55050,57225.91,52666,52666,43016,43016,56780.61000000001,50943.369999999995,58727.88710209207,43158.85289790792,53632.85804183787,56446.4085439524,NaN,NaN,67.27294104714437,57.90725614065564,NaN,NaN
1615593600,57220.84,61788.45,56083.74,61178.5,52666,61788.45,43016,43016,59683.56333333333,51127.83699999999,59662.747549910215,42592.92645008977,55561.76711009776,58854.135218409356,NaN,NaN,72.55497878779214,59.55575544976492,NaN,NaN
1615680000,61181.38,61680,58950,58972.7,52666,61788.45,43016,43016,59867.56666666667,51369.36549999999,60485.42477303591,42253.30622696407,57119.558570276364,59154.60576222917,NaN,NaN,66.13956189705743,60.89055252721606,NaN,NaN
1615766400,58972.71,60601.07,54568,55636.15,52666,61788.45,43016,43016,56935.073333333334,51706.17349999999,60929.529997281075,42482.817002718904,58341.03238104891,59609.753260732636,NaN,NaN,57.81243615661984,60.99310855275206,NaN,NaN
1615852800,55629.08,56970,53221,56927.11,52666,61788.45,43016,53221,55706.03666666665,52065.63799999999,61511.81175745919,42619.464242540795,58818.35763015058,59228.91101391381,NaN,NaN,59.91530517362807,61.42589615612801,NaN,NaN
1615939200,56924.26,58996.38,54138.01,58925.54,52666,61788.45,43016,53221,57353.31,52658.99099999998,62262.076564973766,43055.905435026194,59405.62576567824,59580.21471372712,59715.24358220459,NaN,62.99069087493162,61.83729992517128,NaN,NaN
1616025600,58925.54,60100,56996.15,57644.95,61788.45,61788.45,43016,53221,58247.033333333326,53224.92849999998,62599.85358837175,43850.00341162821,59715.24358220459,59124.15474496866,NaN,NaN,59.82333073221213,62.342224615313235,NaN,NaN
1616112000,57644.95,59461.99,56260,58039.66,61788.45,61788.45,43016,53221,57920.549999999996,53817.87399999999,62828.70751772425,44807.04048227573,59913.01617846692,59488.05845945714,NaN,NaN,60.482897664535614,62.837981700993645,NaN,NaN
1616198400,58026.91,59928,57827.97,58116.7,61788.45,61788.45,43016,53221,58624.22333333332,54462.12149999999,62737.78324067665,46186.45975932333,60158.99462444794,58931.91321842069,NaN,NaN,60.6187905816797,63.32271093632961,NaN,NaN
